country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Gabon,1.3862943611198906,0.0,1.0986122886681098,9.210440366976517,1.3862943611198906,15.0,40.0,5.993961427306569,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Gambia,1.0986122886681098,0.0,0.6931471805599453,8.853808274977197,0.6931471805599453,12.0,35.0,5.707110264748875,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Georgia,2.1972245773362196,0.0,2.0794415416798357,13.451668563394815,3.044522437723423,82.0,82.0,2.6026896854443837,0.0,0.0,1.0,0.0,1.0,3.0,Asia
Ghana,2.0794415416798357,0.0,1.9459101490553132,10.596659732783579,2.772588722239781,70.0,70.0,6.90875477931522,0.0,1.0,1.0,1.0,1.0,3.0,Africa
Greece,2.772588722239781,0.6931471805599453,2.772588722239781,12.429220196836383,4.060443010546419,82.0,82.0,7.244941546337007,0.0,0.0,1.0,1.0,1.0,3.0,Europe
Grenada,0.0,0.0,0.0,0.0,0.0,74.0,74.0,6.2166061010848646,1.0,0.0,0.0,0.0,1.0,2.0,Latin America
Guatemala,1.791759469228055,0.0,1.791759469228055,10.596659732783579,1.791759469228055,70.0,70.0,6.398594934535208,0.0,1.0,1.0,0.0,1.0,3.0,Latin America
Guinea,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,0.6931471805599453,33.9,33.0,6.68586094706836,0.0,0.0,1.0,0.0,1.0,3.0,Africa
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,32.5,32.0,5.707110264748875,1.0,0.0,0.0,0.0,1.0,2.0,Africa
Guyana,0.0,0.0,0.0,0.0,0.0,37.0,37.0,7.313886831633462,1.0,0.0,0.0,0.0,1.0,3.0,Latin America
Haiti,0.0,0.0,0.0,0.0,0.0,39.0,39.0,6.68586094706836,1.0,0.0,0.0,0.0,1.0,3.0,Latin America
Honduras,1.6094379124341003,0.0,1.6094379124341003,9.210440366976517,1.0986122886681098,66.0,66.0,6.68586094706836,0.0,1.0,0.0,0.0,1.0,3.0,Latin America
Hungary,2.995732273553991,0.0,2.995732273553991,11.918397239722838,4.394449154672439,25.0,89.0,6.175867270105761,0.0,1.0,1.0,0.0,1.0,4.0,Europe
Iceland,1.3862943611198906,0.0,1.3862943611198906,11.075721981074851,5.303304908059076,100.0,100.0,7.0909098220799835,0.0,0.0,1.0,0.0,1.0,3.0,Europe
Iran,3.044522437723423,0.0,3.044522437723423,10.819798284210286,3.9318256327243257,25.0,85.0,6.566672429803241,0.0,1.0,1.0,0.0,1.0,4.0,Middle East
Iraq,1.6094379124341003,0.0,1.6094379124341003,9.90353755128617,2.5649493574615367,79.0,79.0,6.566672429803241,0.0,1.0,0.0,0.0,1.0,4.0,Middle East
Ireland,4.394449154672439,0.0,3.6375861597263857,11.918397239722838,6.566672429803241,69.0,89.0,6.018593214496234,0.0,1.0,1.0,0.0,1.0,4.0,Europe
Israel,3.4657359027997265,0.0,3.4657359027997265,13.122365377402328,5.5254529391317835,12.0,89.0,7.170888478512505,0.0,0.0,1.0,0.0,1.0,5.0,Middle East
Italy,5.1298987149230735,2.5649493574615367,3.970291913552122,15.186691535081192,6.2422232654551655,41.0,61.0,8.006700845440367,0.0,0.0,1.0,1.0,1.0,5.0,Europe
Jamaica,1.0986122886681098,0.0,1.0986122886681098,9.472781556562168,1.3862943611198906,46.0,46.0,6.2166061010848646,0.0,1.0,0.0,0.0,1.0,3.0,Latin America
Jordan,1.6094379124341003,0.0,1.6094379124341003,10.308985993422082,2.772588722239781,92.0,92.0,6.55250788703459,0.0,1.0,0.0,0.0,1.0,4.0,Middle East
Kazakhstan,1.9459101490553132,0.0,1.9459101490553132,10.596659732783579,2.772588722239781,93.0,93.0,6.55250788703459,0.0,1.0,0.0,0.0,1.0,4.0,Asia
Kenya,2.70805020110221,0.0,2.4849066497880004,11.626263078808801,3.044522437723423,41.0,41.0,7.0909098220799835,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Kiribati,0.0,0.0,0.0,0.0,0.0,60.0,60.0,6.2166061010848646,1.0,0.0,0.0,0.0,1.0,3.0,Oceania
"Korea, North",0.0,0.0,0.0,0.0,0.0,1.0,20.0,6.2166061010848646,1.0,0.0,0.0,0.0,1.0,2.0,Asia
"Korea, South",3.58351893845611,1.9459101490553132,3.58351893845611,14.879600757635652,6.566672429803241,20.0,93.0,6.7580945044277305,0.0,1.0,1.0,0.0,1.0,4.0,Asia
Kuwait,3.58351893845611,1.9459101490553132,3.58351893845611,14.879600757635652,6.566672429803241,20.0,93.0,6.7580945044277305,0.0,1.0,1.0,0.0,1.0,4.0,Middle East
Kyrgyzstan,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,1.0986122886681098,88.5,88.5,6.68586094706836,0.0,0.0,1.0,0.0,1.0,4.0,Asia
Laos,1.3862943611198906,0.0,1.0986122886681098,9.90353755128617,1.791759469228055,79.0,79.0,6.90875477931522,0.0,1.0,0.0,0.0,1.0,4.0,Asia
Latvia,3.258096538021482,0.0,2.302585092994046,12.506180941677357,4.795790545596741,42.0,89.0,6.478509642208569,0.0,1.0,1.0,0.0,1.0,4.0,Europe
Lebanon,1.6094379124341003,0.0,1.3862943611198906,0.0,0.0,92.0,92.0,6.68586094706836,1.0,0.0,0.0,0.0,1.0,3.0,Middle East
Lesotho,1.0986122886681098,0.0,1.0986122886681098,8.006700845440367,0.6931471805599453,47.0,47.0,2.1972245773362196,0.0,1.0,0.0,0.0,1.0,4.0,Africa
Liberia,0.0,0.0,0.0,0.0,0.0,32.0,32.4,6.398594934535208,1.0,0.0,0.0,0.0,1.0,4.0,Africa
